geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
brn,Brunei,8.51,8.73,8.77,8.8,8.8,8.84,8.82,8.88,9.03,9.2,9.46,9.79,10.23,10.72,11.19,11.72,12.27,13.19,13.87,14.52,15.3,16.14,17.01,17.83,18.78,19.99,21.04,21.92,22.85,24,25.33,26.69,27.99,29.67,30.76,32.11,33.81,34.76,35.66,37.5,39.06,41.19,43.01,44.95
btn,Bhutan,8.92,9.04,9.19,9.36,9.53,9.8,10.17,10.02,10.65,11.49,13.38,14.44,15.36,16.14,16.59,17.69,18.67,20.07,20.37,20.87,21.84,22.99,23.87,24.85,25.51,26.08,26.49,27.08,27.69,28.28,29.48,30.83,32.37,34,35.78,37.92,40.13,42.47,44.54,46.64,49.63,51.64,54.56,57.63
bwa,Botswana,26.28,27.46,28.94,30.44,32.13,33.9,35.75,37.44,36.94,38.03,37.55,36.06,34.75,33.83,34.88,37.14,41.17,47.95,58.46,72.25,88.52,102.97,105.62,93.01,78.62,74.37,88.59,77.2,80.05,84.97,87,88.51,91.19,93.78,98.18,105.5,113.86,121.43,130.78,140.15,149.88,182.59,181.41,192.55
caf,Central African Republic,131.77,134.51,136.71,130.73,132.94,134.59,140.03,139.43,131.49,128.64,122.46,125.58,126.94,132.98,138.68,141.55,152.25,155.13,165.03,173.17,173.51,175.94,179.95,179.17,179.82,179.93,181.05,181.04,180.47,188.74,206.28,219.98,225.09,234.74,241.44,252.51,267.03,286.18,297.22,316.95,327.61,339.44,407.47,440.08
can,Canada,3827.83,3938.17,4043.75,4195.69,4381.59,4603.03,4764.9,4839.1,4976.19,5081.78,5190.87,5254.38,5339.3,5427.61,5551.54,5565.6,5637.07,5633.75,5537.56,5490.61,5589.08,5701.62,5785.52,5805.02,5751.18,5751.04,5675.54,5787.52,5777.35,5696.25,5774.47,5762.89,5745.48,5734.4,5825.51,5961.34,6074.19,6164.57,6224.22,6225.29,6239.91,6358.73,6610.08,6788.67
che,Switzerland,1455.2,1466.29,1469.77,1506.62,1505.53,1527.41,1553.95,1560.48,1570.7,1586.59,1613.62,1620.53,1626.58,1653.95,1688.78,1738.95,1699.82,1677.7,1615.53,1580.09,1600.01,1618.73,1634.98,1658.39,1614.45,1563.31,1541.79,1538.63,1610.94,1650.05,1632.12,1604.13,1616.77,1592.8,1591.29,1655.36,1630.67,1626.37,1653.68,1653.77,1590.22,1588.68,1739.42,1638.83
chl,Chile,715.16,717.92,746.06,773.22,799.32,830.3,839.75,874.33,899.94,915.5,989.13,994.84,997.48,1012.68,1034.15,1090.6,1112.29,1076.71,1129.78,1149.72,1159.16,1179.72,1197.93,1222.62,1261.99,1309.07,1301.23,1337.23,1368.91,1482.56,1530.41,1567.01,1589.67,1586.18,1628.87,1669.36,1682.26,1716.86,1736.87,1811.85,1752.72,1763.34,1916.87,1937.05
chn,China,39416.1,40577.35,41409.35,41310.45,41104.7,41308.5,42185.17,43605.1,45550.85,47587.42,49615.74,51252.99,52614.21,53670.05,54827.8,56134.91,57595.39,58895.12,59997.49,61234.68,62317.24,62906.01,62445.95,61977.61,61254,61518.57,61923.88,62845.3,63096.81,63626.07,64127.36,63359.52,62157.55,61189.81,62181.18,63232.62,65295.27,67373.25,67041.9,65345.51,64893.7,70167.43,76324.09,76736.07
civ,Cote d'Ivoire,478.3,495.38,509.42,530.17,549.24,574.17,584.98,583.87,581.61,571.52,563.06,564.64,584.22,618.97,660.53,704.55,764.65,823.14,879.44,922.41,976.48,965.75,987.28,968.21,985.09,1011.14,1064.95,1088.48,1141.22,1160.31,1174.31,1244.72,1399.01,1610.93,1778.12,2017.56,2265.46,2505.79,2730.49,2837.69,3025.69,3154.49,3838.14,4271.46
cmr,Cameroon,489.24,503.22,510.39,511.69,524.42,548.24,560.44,583.25,605,625.45,637.4,640.33,636.11,633.18,626.73,622.99,629.95,635.09,654.61,675.68,714.51,717.82,743.55,754.33,777.92,814.95,871.48,905.25,987.1,1071.18,1150.64,1224,1316.2,1398.03,1432.23,1537.06,1648.98,1809.09,2011.72,2178.15,2374.76,2558.26,2919.84,3274.18
cod,"Congo, Dem. Rep.",1154.07,1216.99,1278.25,1339.45,1411.19,1507.77,1518.28,1553.6,1596.64,1620.87,1651.32,1701.18,1711.79,1718.29,1696.85,1706.86,1709.12,1733.98,1791.47,1893.07,1960.73,2010.35,2109.06,2194.4,2301.05,2438.34,2606.02,2758.97,2923.99,3123.87,3356.23,3595.64,3876.63,4224.84,4644.1,5009.4,5437.75,5959,6629.3,7292.85,7924.49,8508.85,10408.07,11268.13
cog,"Congo, Rep.",125.59,125.2,133.08,146.73,146.44,152.28,152.36,158,158.22,148.55,146.21,144.33,150.02,150.32,168.75,170.21,172.52,188.89,177.74,187.64,191.09,183.48,186.98,196.39,199.53,212.4,223.81,236.72,258.59,280.52,290.25,305.52,319.45,327.09,338.8,360.23,390.22,412.55,438.8,481.95,511.97,542.37,674.68,762.48
col,Colombia,1033.14,1050.58,1093.69,1149.56,1219.13,1236.19,1288.55,1284.1,1329.73,1371.28,1427.33,1448.03,1487.34,1564.42,1606.29,1631.3,1659.44,1658.83,1650.31,1759.61,1856.63,1944.97,2056.86,2167.06,2214.64,2210.14,2269.3,2392.15,2463.39,2584.02,2715.5,2773.43,2880.39,2976.01,3125.75,3279.25,3488.34,3677.49,3818.16,3954.88,3978.77,4122.15,4140.57,4236.01
com,Comoros,6.47,6.64,6.74,6.81,6.91,7.02,7.2,7.43,7.67,7.96,8.29,8.77,9.22,9.64,10.02,10.22,10.73,10.87,11.57,11.71,12.78,12.89,13.95,14.27,13.9,15.26,14.84,16.97,17.4,17.12,17.51,18.24,18.35,18.77,20.5,20.87,21.42,21.89,21.81,22.99,23.87,25.59,25.56,28.28
cpv,Cape Verde,14.27,14.34,14.02,14.08,14.13,14.26,14.49,14.8,15.16,15.62,16.05,16.31,16.05,15.69,15.91,18.49,14.88,14.65,14.58,14.66,14.91,15.4,15.93,16.44,16.92,17.82,19.08,20.22,21.02,21.76,22.48,23.74,25.51,27.55,29.61,31.11,33.06,33.9,36.08,37.11,36.05,37.05,45.34,48.75
cri,Costa Rica,90.2,90.37,96.34,102.63,113.86,120.41,122.93,136.05,139.8,136.36,141.54,139.46,153.66,166.39,181.1,190.02,198.04,195.73,201.86,211.35,217.64,227.09,237.99,249.47,256.16,259.77,275.5,288.82,302.44,312.75,323.43,331.03,351.65,377.82,390.76,398.34,406.44,423.86,429.57,448.23,457.34,478.22,530.39,574.17
